,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ARRIVAL_DELAY
0,ABE,ATL,298
1,ABE,DTW,268
2,ABE,ORD,260
3,ABI,DFW,686
4,ABQ,ATL,172
5,ABQ,BWI,190
6,ABQ,CLT,16
7,ABQ,DAL,756
8,ABQ,DEN,570
9,ABQ,DFW,617
10,ABQ,HOU,345
11,ABQ,IAH,293
12,ABQ,JFK,123
13,ABQ,LAS,440
14,ABQ,LAX,740
15,ABQ,MCI,113
16,ABQ,MCO,34
17,ABQ,MDW,223
18,ABQ,MSP,72
19,ABQ,OAK,241
20,ABQ,ORD,176
21,ABQ,PDX,65
22,ABQ,PHX,1223
23,ABQ,SAN,204
24,ABQ,SEA,74
25,ABQ,SFO,130
26,ABQ,SLC,148
27,ABR,MSP,246
28,ABY,ATL,309
29,ACK,BOS,40
30,ACK,DCA,16
31,ACK,JFK,106
32,ACT,DFW,466
33,ACV,SFO,449
34,ACY,ATL,67
35,ACY,BOS,117
36,ACY,DTW,81
37,ACY,FLL,307
38,ACY,MCO,325
39,ACY,MYR,66
40,ACY,ORD,84
41,ACY,PBI,42
42,ACY,RSW,209
43,ACY,TPA,135
44,ADK,ANC,56
45,ADQ,ANC,160
46,AEX,ATL,546
47,AEX,DFW,379
48,AEX,IAH,253
49,AGS,ATL,1004
50,AKN,ANC,32
51,ALB,ATL,231
52,ALB,BWI,419
53,ALB,CLT,223
54,ALB,DEN,3
55,ALB,DTW,152
56,ALB,EWR,71
57,ALB,FLL,82
58,ALB,IAD,2
59,ALB,LAS,80
60,ALB,MCO,147
61,ALB,MDW,218
62,ALB,MSP,40
63,ALB,ORD,281
64,ALB,RSW,4
65,ALB,TPA,53
66,ALO,ORD,172
67,AMA,DAL,446
68,AMA,DEN,216
69,AMA,DFW,456
70,AMA,IAH,321
71,AMA,LAS,75
72,ANC,ADK,31
73,ANC,ADQ,130
74,ANC,AKN,26
75,ANC,ATL,31
76,ANC,BET,319
77,ANC,BRW,79
78,ANC,CDV,138
79,ANC,DEN,190
80,ANC,DFW,57
81,ANC,DLG,17
82,ANC,EWR,3
83,ANC,FAI,109
84,ANC,HNL,68
85,ANC,IAH,39
86,ANC,JNU,376
87,ANC,KOA,5
88,ANC,LAS,14
89,ANC,LAX,81
90,ANC,LGB,34
91,ANC,MSP,161
92,ANC,OGG,12
93,ANC,OME,127
94,ANC,ORD,278
95,ANC,OTZ,225
96,ANC,PDX,220
97,ANC,PHX,128
98,ANC,SCC,215
99,ANC,SEA,1997
100,ANC,SFO,73
101,ANC,SLC,13
102,APN,DTW,142
103,ASE,ATL,32
104,ASE,DEN,416
105,ASE,DFW,162
106,ASE,IAH,168
107,ASE,LAX,331
108,ASE,MSP,9
109,ASE,ORD,261
110,ASE,SFO,85
111,ATL,ABE,360
112,ATL,ABQ,202
113,ATL,ABY,347
114,ATL,ACY,95
115,ATL,AEX,498
116,ATL,AGS,880
117,ATL,ALB,303
118,ATL,ANC,33
119,ATL,ASE,46
120,ATL,ATW,138
121,ATL,AUS,1050
122,ATL,AVL,612
123,ATL,AVP,157
124,ATL,AZO,6
125,ATL,BDL,558
126,ATL,BHM,869
127,ATL,BMI,465
128,ATL,BNA,923
129,ATL,BOS,1574
130,ATL,BQK,312
131,ATL,BTR,1058
132,ATL,BTV,159
133,ATL,BUF,412
134,ATL,BWI,1894
135,ATL,BZN,29
136,ATL,CAE,973
137,ATL,CAK,590
138,ATL,CHA,996
139,ATL,CHO,357
140,ATL,CHS,861
141,ATL,CID,386
142,ATL,CLE,809
143,ATL,CLT,2068
144,ATL,CMH,992
145,ATL,COS,120
146,ATL,CRW,494
147,ATL,CSG,440
148,ATL,CVG,720
149,ATL,DAB,442
150,ATL,DAL,724
151,ATL,DAY,421
152,ATL,DCA,2273
153,ATL,DEN,1720
154,ATL,DFW,2109
155,ATL,DHN,443
156,ATL,DSM,238
157,ATL,DTW,1752
158,ATL,ECP,646
159,ATL,EGE,31
160,ATL,ELM,11
161,ATL,ELP,209
162,ATL,EVV,361
163,ATL,EWN,254
164,ATL,EWR,1606
165,ATL,EYW,438
166,ATL,FAR,20
167,ATL,FAY,572
168,ATL,FCA,5
169,ATL,FLL,2711
170,ATL,FNT,300
171,ATL,FSD,146
172,ATL,FSM,300
173,ATL,FWA,398
174,ATL,GNV,899
175,ATL,GPT,399
176,ATL,GRB,175
177,ATL,GRK,243
178,ATL,GRR,337
179,ATL,GSO,888
180,ATL,GSP,727
181,ATL,GTR,282
182,ATL,HDN,26
183,ATL,HNL,134
184,ATL,HOU,1174
185,ATL,HPN,865
186,ATL,HSV,711
187,ATL,IAD,887
188,ATL,IAH,1280
189,ATL,ICT,230
190,ATL,ILM,538
191,ATL,IND,1325
192,ATL,JAC,23
193,ATL,JAN,623
194,ATL,JAX,1918
195,ATL,JFK,770
196,ATL,LAN,6
197,ATL,LAS,1354
198,ATL,LAX,2010
199,ATL,LEX,685
200,ATL,LFT,437
201,ATL,LGA,3217
202,ATL,LIT,491
203,ATL,LNK,142
204,ATL,MBS,4
205,ATL,MCI,1078
206,ATL,MCO,3129
207,ATL,MDT,252
208,ATL,MDW,1386
209,ATL,MEM,896
210,ATL,MGM,824
211,ATL,MHT,94
212,ATL,MIA,1747
213,ATL,MKE,905
214,ATL,MLB,428
215,ATL,MLI,400
216,ATL,MLU,450
217,ATL,MOB,896
218,ATL,MSN,219
219,ATL,MSO,5
220,ATL,MSP,1600
221,ATL,MSY,1651
222,ATL,MTJ,11
223,ATL,MYR,509
224,ATL,OAJ,518
225,ATL,OAK,13
226,ATL,OKC,575
227,ATL,OMA,454
228,ATL,ORD,2542
229,ATL,ORF,735
230,ATL,PBI,1438
231,ATL,PDX,261
232,ATL,PHF,513
233,ATL,PHL,2326
234,ATL,PHX,1128
235,ATL,PIA,379
236,ATL,PIT,899
237,ATL,PNS,684
238,ATL,PVD,239
239,ATL,PWM,168
240,ATL,RAP,8
241,ATL,RDU,1412
242,ATL,RIC,1130
243,ATL,ROA,530
244,ATL,ROC,246
245,ATL,RST,100
246,ATL,RSW,1246
247,ATL,SAN,504
248,ATL,SAT,924
249,ATL,SAV,974
250,ATL,SBN,431
251,ATL,SCE,10
252,ATL,SDF,781
253,ATL,SEA,763
254,ATL,SFO,917
255,ATL,SGF,456
256,ATL,SHV,695
257,ATL,SJC,79
258,ATL,SJU,516
259,ATL,SLC,660
260,ATL,SMF,151
261,ATL,SNA,276
262,ATL,SRQ,549
263,ATL,STL,1115
264,ATL,STT,171
265,ATL,STX,11
266,ATL,SYR,295
267,ATL,TLH,674
268,ATL,TPA,2627
269,ATL,TRI,592
270,ATL,TTN,194
271,ATL,TUL,485
272,ATL,TUS,152
273,ATL,TVC,17
274,ATL,TYS,540
275,ATL,VLD,385
276,ATL,VPS,636
277,ATL,XNA,552
278,ATW,ATL,107
279,ATW,DTW,155
280,ATW,MSP,231
281,ATW,ORD,583
282,AUS,ATL,1038
283,AUS,BNA,210
284,AUS,BOS,225
285,AUS,BWI,241
286,AUS,CLT,165
287,AUS,DAL,1507
288,AUS,DCA,96
289,AUS,DEN,1070
290,AUS,DFW,1301
291,AUS,DTW,117
292,AUS,ELP,288
293,AUS,EWR,314
294,AUS,FLL,349
295,AUS,HOU,552
296,AUS,HRL,136
297,AUS,IAD,24
298,AUS,IAH,814
299,AUS,JFK,497
300,AUS,LAS,357
301,AUS,LAX,912
