,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ARRIVAL_DELAY
0,10135,10397,29
1,10135,11433,32
2,10135,13930,27
3,10136,11298,32
4,10140,10397,20
5,10140,10821,14
6,10140,11259,71
7,10140,11292,60
8,10140,11298,49
9,10140,12191,33
10,10140,12266,20
11,10140,12478,16
12,10140,12889,34
13,10140,12892,57
14,10140,13198,26
15,10140,13232,12
16,10140,13487,9
17,10140,13796,25
18,10140,13930,15
19,10140,14057,10
20,10140,14107,102
21,10140,14679,11
22,10140,14747,4
23,10140,14771,3
24,10140,14869,10
25,10141,13487,29
26,10146,10397,38
27,10154,10721,2
28,10154,12478,12
29,10155,11298,16
30,10157,14771,37
31,10158,10397,5
32,10158,11697,7
33,10158,13204,13
34,10158,13577,3
35,10158,14635,13
36,10158,15304,5
37,10165,10299,5
38,10170,10299,11
39,10185,10397,55
40,10185,11298,8
41,10185,12266,28
42,10208,10397,98
43,10257,10397,17
44,10257,10821,46
45,10257,11057,23
46,10257,11433,18
47,10257,11618,22
48,10257,12889,4
49,10257,13204,3
50,10257,13232,7
51,10257,13487,8
52,10257,13930,29
53,10257,15304,3
54,10268,13930,1
55,10279,11259,57
56,10279,11292,6
57,10279,11298,7
58,10279,12266,27
59,10279,12889,4
60,10299,10165,1
61,10299,10170,8
62,10299,10551,25
63,10299,10754,9
64,10299,10926,17
65,10299,11292,5
66,10299,11630,16
67,10299,12173,2
68,10299,12523,31
69,10299,12892,3
70,10299,13487,7
71,10299,13873,11
72,10299,13930,10
73,10299,13970,16
74,10299,14057,21
75,10299,14107,8
76,10299,14709,10
77,10299,14747,205
78,10333,11433,20
79,10372,11292,8
80,10372,12892,11
81,10397,10135,24
82,10397,10140,13
83,10397,10146,34
84,10397,10158,16
85,10397,10185,56
86,10397,10208,66
87,10397,10257,14
88,10397,10408,6
89,10397,10423,66
90,10397,10431,44
91,10397,10434,5
92,10397,10529,22
93,10397,10599,47
94,10397,10685,31
95,10397,10693,54
96,10397,10721,94
97,10397,10731,35
98,10397,10781,78
99,10397,10785,12
100,10397,10792,13
101,10397,10821,121
102,10397,10868,44
103,10397,10874,39
104,10397,10980,62
105,10397,10990,25
106,10397,10994,44
107,10397,11003,22
108,10397,11042,59
109,10397,11057,179
110,10397,11066,42
111,10397,11109,6
112,10397,11146,46
113,10397,11150,48
114,10397,11193,45
115,10397,11252,27
116,10397,11259,52
117,10397,11267,21
118,10397,11278,130
119,10397,11292,80
120,10397,11298,138
121,10397,11308,29
122,10397,11423,15
123,10397,11433,138
124,10397,11481,27
125,10397,11540,18
126,10397,11612,25
127,10397,11617,21
128,10397,11618,101
129,10397,11624,34
130,10397,11641,39
131,10397,11697,212
132,10397,11721,19
133,10397,11775,6
134,10397,11778,17
135,10397,11823,33
136,10397,11953,56
137,10397,11973,14
138,10397,11977,10
139,10397,11982,13
140,10397,11986,15
141,10397,11995,29
142,10397,11996,40
143,10397,12007,18
144,10397,12173,7
145,10397,12191,88
146,10397,12197,105
147,10397,12217,41
148,10397,12264,36
149,10397,12266,126
150,10397,12278,12
151,10397,12323,54
152,10397,12339,99
153,10397,12448,20
154,10397,12451,129
155,10397,12478,58
156,10397,12889,86
157,10397,12892,108
158,10397,12945,43
159,10397,12951,42
160,10397,12953,127
161,10397,12992,21
162,10397,13029,9
163,10397,13198,51
164,10397,13204,209
165,10397,13230,12
166,10397,13232,85
167,10397,13244,50
168,10397,13277,62
169,10397,13296,5
170,10397,13303,113
171,10397,13342,62
172,10397,13360,25
173,10397,13367,41
174,10397,13377,37
175,10397,13422,68
176,10397,13485,8
177,10397,13487,65
178,10397,13495,108
179,10397,13577,39
180,10397,13795,45
181,10397,13851,29
182,10397,13871,23
183,10397,13930,190
184,10397,13931,57
185,10397,14027,84
186,10397,14057,13
187,10397,14098,35
188,10397,14100,140
189,10397,14107,66
190,10397,14108,41
191,10397,14122,56
192,10397,14193,43
193,10397,14307,8
194,10397,14321,16
195,10397,14492,86
196,10397,14524,81
197,10397,14574,31
198,10397,14576,18
199,10397,14633,10
200,10397,14635,97
201,10397,14679,26
202,10397,14683,82
203,10397,14685,57
204,10397,14696,11
205,10397,14730,47
206,10397,14747,47
207,10397,14771,37
208,10397,14783,36
209,10397,14814,54
210,10397,14831,2
211,10397,14843,26
212,10397,14869,30
213,10397,14893,10
214,10397,14908,9
215,10397,14986,30
216,10397,15016,89
217,10397,15024,10
218,10397,15096,15
219,10397,15249,49
220,10397,15304,192
221,10397,15323,35
222,10397,15356,12
223,10397,15370,29
224,10397,15376,9
225,10397,15412,16
226,10397,15607,32
227,10397,15624,42
228,10397,15919,43
229,10408,10397,5
230,10408,11433,25
231,10408,13487,10
232,10408,13930,76
233,10423,10397,78
234,10423,10693,24
235,10423,10721,12
236,10423,10821,15
237,10423,11057,22
238,10423,11259,159
239,10423,11278,11
240,10423,11292,59
241,10423,11298,68
242,10423,11433,4
243,10423,11540,27
244,10423,11618,17
245,10423,11697,16
246,10423,12191,39
247,10423,12206,19
248,10423,12264,1
249,10423,12266,56
250,10423,12478,50
251,10423,12889,41
252,10423,12892,50
253,10423,12896,6
254,10423,12954,11
255,10423,13204,15
256,10423,13232,14
257,10423,13303,6
258,10423,13487,6
259,10423,13495,13
260,10423,13796,8
261,10423,13930,55
262,10423,14100,6
263,10423,14107,31
264,10423,14679,16
265,10423,14747,8
266,10423,14771,48
267,10423,14831,5
268,10423,14869,16
269,10423,14908,6
270,10423,15016,4
271,10423,15304,8
272,10431,10397,64
273,10431,11618,12
274,10431,13930,47
275,10434,10397,11
276,10434,11433,7
277,10434,13930,27
278,10469,11433,1
279,10469,13930,29
280,10529,10397,33
281,10529,10821,64
282,10529,11042,4
283,10529,11057,45
284,10529,11193,5
285,10529,11278,9
286,10529,11292,6
287,10529,11298,8
288,10529,11433,31
289,10529,11618,7
290,10529,11697,17
291,10529,12889,4
292,10529,13204,27
293,10529,13232,8
294,10529,13303,8
295,10529,13487,16
296,10529,13930,25
297,10529,14027,16
298,10529,14100,5
299,10529,14492,3
300,10529,14635,16
301,10529,14843,5
302,10529,15304,12
303,10551,10299,37
304,10561,11292,10
305,10561,14107,16
306,10561,14771,19
307,10577,11433,25
308,10581,11433,5
309,10581,11618,1
310,10581,12953,2
311,10599,10397,65
312,10599,10821,21
313,10599,11259,8
314,10599,11292,4
315,10599,11298,6
316,10599,11433,28
317,10599,12191,14
318,10599,12266,50
319,10599,12889,4
320,10599,12953,26
321,10599,13204,18
322,10599,13232,10
323,10599,13303,12
324,10599,13930,46
325,10599,15304,6
326,10620,11292,25
327,10620,13487,4
328,10620,14869,17
