,ORIGIN_AIRPORT,DESTINATION_AIRPORT,TOTAL_FLIGHTS,ARRIVAL_DELAY,DELAY_RATIO
0,ABE,ATL,886,298,0.336
1,ABE,DTW,695,268,0.386
2,ABE,ORD,646,260,0.402
3,ABI,DFW,2231,686,0.307
4,ABQ,ATL,799,172,0.215
5,ABQ,BWI,498,190,0.382
6,ABQ,CLT,95,16,0.168
7,ABQ,DAL,1560,756,0.485
8,ABQ,DEN,1566,570,0.364
9,ABQ,DFW,1750,617,0.353
10,ABQ,HOU,926,345,0.373
11,ABQ,IAH,837,293,0.35
12,ABQ,JFK,271,123,0.454
13,ABQ,LAS,1257,440,0.35
14,ABQ,LAX,1801,740,0.411
15,ABQ,MCI,313,113,0.361
16,ABQ,MCO,97,34,0.351
17,ABQ,MDW,640,223,0.348
18,ABQ,MSP,215,72,0.335
19,ABQ,OAK,793,241,0.304
20,ABQ,ORD,531,176,0.331
21,ABQ,PDX,229,65,0.284
22,ABQ,PHX,2449,1223,0.499
23,ABQ,SAN,611,204,0.334
24,ABQ,SEA,405,74,0.183
25,ABQ,SFO,330,130,0.394
26,ABQ,SLC,945,148,0.157
27,ABR,MSP,663,246,0.371
28,ABY,ATL,866,309,0.357
29,ACK,BOS,115,40,0.348
30,ACK,DCA,39,16,0.41
31,ACK,JFK,331,106,0.32
32,ACT,DFW,1538,466,0.303
33,ACV,SFO,1268,449,0.354
34,ACY,ATL,177,67,0.379
35,ACY,BOS,180,117,0.65
36,ACY,DTW,145,81,0.559
37,ACY,FLL,811,307,0.379
38,ACY,MCO,786,325,0.413
39,ACY,MYR,329,66,0.201
40,ACY,ORD,141,84,0.596
41,ACY,PBI,153,42,0.275
42,ACY,RSW,476,209,0.439
43,ACY,TPA,329,135,0.41
44,ADK,ANC,88,56,0.636
45,ADQ,ANC,437,160,0.366
46,AEX,ATL,1211,546,0.451
47,AEX,DFW,942,379,0.402
48,AEX,IAH,901,253,0.281
49,AGS,ATL,2344,1004,0.428
50,AGS,LGA,1,0,0.0
51,AKN,ANC,63,32,0.508
52,ALB,ATL,929,231,0.249
53,ALB,BWI,1658,419,0.253
54,ALB,CLT,697,223,0.32
55,ALB,DEN,9,3,0.333
56,ALB,DTW,491,152,0.31
57,ALB,EWR,160,71,0.444
58,ALB,FLL,340,82,0.241
59,ALB,IAD,3,2,0.667
60,ALB,LAS,272,80,0.294
61,ALB,MCO,681,147,0.216
62,ALB,MDW,650,218,0.335
63,ALB,MSP,200,40,0.2
64,ALB,ORD,849,281,0.331
65,ALB,RSW,5,4,0.8
66,ALB,TPA,378,53,0.14
67,ALO,ORD,581,172,0.296
68,AMA,DAL,1191,446,0.374
69,AMA,DEN,553,216,0.391
70,AMA,DFW,1117,456,0.408
71,AMA,IAH,883,321,0.364
72,AMA,LAS,330,75,0.227
73,ANC,ADK,89,31,0.348
74,ANC,ADQ,437,130,0.297
75,ANC,AKN,63,26,0.413
76,ANC,ATL,101,31,0.307
77,ANC,BET,879,319,0.363
78,ANC,BRW,183,79,0.432
79,ANC,CDV,329,138,0.419
80,ANC,DEN,404,190,0.47
81,ANC,DFW,117,57,0.487
82,ANC,DLG,77,17,0.221
83,ANC,EWR,7,3,0.429
84,ANC,FAI,333,109,0.327
85,ANC,HNL,273,68,0.249
86,ANC,IAH,81,39,0.481
87,ANC,JNU,1025,376,0.367
88,ANC,KOA,44,5,0.114
89,ANC,LAS,84,14,0.167
90,ANC,LAX,381,81,0.213
91,ANC,LGB,118,34,0.288
92,ANC,MSP,572,161,0.281
93,ANC,OGG,65,12,0.185
94,ANC,OME,361,127,0.352
95,ANC,ORD,634,278,0.438
96,ANC,OTZ,593,225,0.379
97,ANC,PDX,909,220,0.242
98,ANC,PHX,388,128,0.33
99,ANC,SCC,655,215,0.328
100,ANC,SEA,6348,1997,0.315
101,ANC,SFO,170,73,0.429
102,ANC,SLC,98,13,0.133
103,APN,DTW,546,142,0.26
104,ASE,ATL,92,32,0.348
105,ASE,DEN,1026,416,0.405
106,ASE,DFW,262,162,0.618
107,ASE,IAH,385,168,0.436
108,ASE,LAX,708,331,0.468
109,ASE,MSP,22,9,0.409
110,ASE,ORD,581,261,0.449
111,ASE,SFO,187,85,0.455
112,ATL,ABE,894,360,0.403
113,ATL,ABQ,800,202,0.252
114,ATL,ABY,864,347,0.402
115,ATL,ACY,177,95,0.537
116,ATL,AEX,1213,498,0.411
117,ATL,AGS,2345,880,0.375
118,ATL,ALB,931,303,0.325
119,ATL,ANC,102,33,0.324
120,ATL,ASE,94,46,0.489
121,ATL,ATW,413,138,0.334
122,ATL,AUS,3135,1050,0.335
123,ATL,AVL,1831,612,0.334
124,ATL,AVP,322,157,0.488
125,ATL,AZO,19,6,0.316
126,ATL,BDL,2314,558,0.241
127,ATL,BHM,3194,869,0.272
128,ATL,BMI,862,465,0.539
129,ATL,BNA,3208,923,0.288
130,ATL,BOS,4602,1574,0.342
131,ATL,BQK,868,312,0.359
132,ATL,BTR,2483,1058,0.426
133,ATL,BTV,298,159,0.534
134,ATL,BUF,1563,412,0.264
135,ATL,BWI,5756,1894,0.329
136,ATL,BZN,96,29,0.302
137,ATL,CAE,2675,973,0.364
138,ATL,CAK,2028,590,0.291
139,ATL,CHA,2717,996,0.367
140,ATL,CHO,922,357,0.387
141,ATL,CHS,3181,861,0.271
142,ATL,CID,873,386,0.442
143,ATL,CLE,2832,809,0.286
144,ATL,CLT,6264,2068,0.33
145,ATL,CMH,3259,992,0.304
146,ATL,COS,304,120,0.395
147,ATL,CRW,1290,494,0.383
148,ATL,CSG,1059,440,0.415
149,ATL,CVG,2367,720,0.304
150,ATL,DAB,1484,442,0.298
151,ATL,DAL,2821,724,0.257
152,ATL,DAY,1298,421,0.324
153,ATL,DCA,6347,2273,0.358
154,ATL,DEN,4949,1720,0.348
155,ATL,DFW,6941,2109,0.304
156,ATL,DHN,1242,443,0.357
157,ATL,DSM,920,238,0.259
158,ATL,DTW,4835,1752,0.362
159,ATL,ECP,2009,646,0.322
160,ATL,EGE,99,31,0.313
161,ATL,ELM,13,11,0.846
162,ATL,ELP,697,209,0.3
163,ATL,EVV,952,361,0.379
164,ATL,EWN,564,254,0.45
165,ATL,EWR,4980,1606,0.322
166,ATL,EYW,1412,438,0.31
167,ATL,FAR,39,20,0.513
168,ATL,FAY,1617,572,0.354
169,ATL,FCA,25,5,0.2
170,ATL,FLL,7388,2711,0.367
171,ATL,FNT,948,300,0.316
172,ATL,FSD,330,146,0.442
173,ATL,FSM,663,300,0.452
174,ATL,FWA,1053,398,0.378
175,ATL,GJT,0,0,
176,ATL,GNV,2071,899,0.434
177,ATL,GPT,1404,399,0.284
178,ATL,GRB,400,175,0.438
179,ATL,GRK,583,243,0.417
180,ATL,GRR,1287,337,0.262
181,ATL,GSO,2654,888,0.335
182,ATL,GSP,2451,727,0.297
183,ATL,GTR,912,282,0.309
184,ATL,HDN,95,26,0.274
185,ATL,HNL,332,134,0.404
186,ATL,HOU,4006,1174,0.293
187,ATL,HPN,1815,865,0.477
188,ATL,HSV,2444,711,0.291
189,ATL,IAD,2602,887,0.341
190,ATL,IAH,3770,1280,0.34
191,ATL,ICT,964,230,0.239
192,ATL,ILM,1598,538,0.337
193,ATL,IND,3794,1325,0.349
194,ATL,JAC,103,23,0.223
195,ATL,JAN,2279,623,0.273
196,ATL,JAX,5085,1918,0.377
197,ATL,JFK,1889,770,0.408
198,ATL,LAN,13,6,0.462
199,ATL,LAS,4074,1354,0.332
200,ATL,LAX,5636,2010,0.357
201,ATL,LEX,2250,685,0.304
202,ATL,LFT,1184,437,0.369
203,ATL,LGA,7955,3217,0.404
204,ATL,LIT,1967,491,0.25
205,ATL,LNK,317,142,0.448
206,ATL,MBS,15,4,0.267
207,ATL,MCI,3459,1078,0.312
208,ATL,MCO,8148,3129,0.384
209,ATL,MDT,949,252,0.266
210,ATL,MDW,4445,1386,0.312
211,ATL,MEM,3089,896,0.29
212,ATL,MGM,2185,824,0.377
213,ATL,MHT,329,94,0.286
214,ATL,MIA,5112,1747,0.342
215,ATL,MKE,3142,905,0.288
216,ATL,MLB,1327,428,0.323
217,ATL,MLI,753,400,0.531
218,ATL,MLU,1189,450,0.378
219,ATL,MOB,2231,896,0.402
220,ATL,MSN,890,219,0.246
221,ATL,MSO,15,5,0.333
222,ATL,MSP,4697,1600,0.341
223,ATL,MSY,5532,1651,0.298
224,ATL,MTJ,35,11,0.314
225,ATL,MYR,1410,509,0.361
226,ATL,OAJ,1120,518,0.462
227,ATL,OAK,64,13,0.203
228,ATL,OKC,1954,575,0.294
229,ATL,OMA,1608,454,0.282
230,ATL,ONT,3,0,0.0
231,ATL,ORD,6373,2542,0.399
232,ATL,ORF,2649,735,0.277
233,ATL,PBI,4182,1438,0.344
234,ATL,PDX,1084,261,0.241
235,ATL,PHF,1238,513,0.414
236,ATL,PHL,6526,2326,0.356
237,ATL,PHX,3639,1128,0.31
238,ATL,PIA,887,379,0.427
239,ATL,PIT,3245,899,0.277
240,ATL,PNS,2251,684,0.304
241,ATL,PVD,934,239,0.256
242,ATL,PWM,604,168,0.278
243,ATL,RAP,15,8,0.533
244,ATL,RDU,4678,1412,0.302
245,ATL,RIC,3536,1130,0.32
246,ATL,ROA,1456,530,0.364
247,ATL,ROC,966,246,0.255
248,ATL,RST,316,100,0.316
249,ATL,RSW,3907,1246,0.319
250,ATL,SAN,2037,504,0.247
251,ATL,SAT,2852,924,0.324
252,ATL,SAV,3125,974,0.312
253,ATL,SBN,1104,431,0.39
254,ATL,SCE,39,10,0.256
255,ATL,SDF,2719,781,0.287
256,ATL,SEA,2665,763,0.286
257,ATL,SFO,3113,917,0.295
258,ATL,SGF,1275,456,0.358
259,ATL,SHV,2001,695,0.347
260,ATL,SJC,274,79,0.288
261,ATL,SJU,1416,516,0.364
262,ATL,SLC,2536,660,0.26
263,ATL,SMF,552,151,0.274
