,ORIGIN_AIRPORT,DESTINATION_AIRPORT,TOTAL_FLIGHTS,ARRIVAL_DELAY,DELAY_RATIO,AirportName_org,city_org,state_org,CensusId_org,County_org,TotalPop_org,Men_org,Women_org,Hispanic_org,White_org,Black_org,Native_org,Asian_org,Pacific_org,Citizen_org,Income_org,IncomeErr_org,IncomePerCap_org,IncomePerCapErr_org,Poverty_org,ChildPoverty_org,Professional_org,Service_org,Office_org,Construction_org,Production_org,Drive_org,Carpool_org,Transit_org,Walk_org,OtherTransp_org,WorkAtHome_org,MeanCommute_org,Employed_org,PrivateWork_org,PublicWork_org,SelfEmployed_org,FamilyWork_org,Unemployment_org,AirportName_des,city_des,state_des,CensusId_des,County_des,TotalPop_des,Men_des,Women_des,Hispanic_des,White_des,Black_des,Native_des,Asian_des,Pacific_des,Citizen_des,Income_des,IncomeErr_des,IncomePerCap_des,IncomePerCapErr_des,Poverty_des,ChildPoverty_des,Professional_des,Service_des,Office_des,Construction_des,Production_des,Drive_des,Carpool_des,Transit_des,Walk_des,OtherTransp_des,WorkAtHome_des,MeanCommute_des,Employed_des,PrivateWork_des,PublicWork_des,SelfEmployed_des,FamilyWork_des,Unemployment_des
0,ABE,ATL,886,298,0.336,Lehigh Valley International,Allentown,PA,42077,Lehigh,356756,173680,183076,21.1,68.5,5.1,0.1,3.1,0.0,260125,56117.0,1027.0,28688,444,13.1,20.7,34.3,16.8,25.4,7.3,16.2,80.4,9.9,2.1,2.6,0.9,4.1,24.9,170448,87.0,8.5,4.4,0.1,8.5,William B Hartsfield-Atlanta Intl,Atlanta,GA,13121,Fulton,983903,478161,505742,7.6,40.4,43.5,0.2,6.3,0.0,688462,57207.0,835.0,37926,541,17.6,25.2,49.4,15.0,24.1,4.0,7.5,72.8,8.1,7.0,2.8,1.4,7.9,27.4,471816,83.1,11.5,5.2,0.1,9.9
1,ABE,DTW,695,268,0.386,Lehigh Valley International,Allentown,PA,42077,Lehigh,356756,173680,183076,21.1,68.5,5.1,0.1,3.1,0.0,260125,56117.0,1027.0,28688,444,13.1,20.7,34.3,16.8,25.4,7.3,16.2,80.4,9.9,2.1,2.6,0.9,4.1,24.9,170448,87.0,8.5,4.4,0.1,8.5,Detroit Metropolitan-Wayne County,Detroit,MI,26163,Wayne,1778969,855112,923857,5.5,49.8,39.2,0.3,2.9,0.0,1287373,41210.0,304.0,22897,161,25.0,36.9,31.3,20.5,24.4,6.9,16.8,81.0,9.7,3.2,1.8,1.5,2.8,25.1,696900,86.1,10.0,3.8,0.1,14.9
2,ABE,ORD,646,260,0.402,Lehigh Valley International,Allentown,PA,42077,Lehigh,356756,173680,183076,21.1,68.5,5.1,0.1,3.1,0.0,260125,56117.0,1027.0,28688,444,13.1,20.7,34.3,16.8,25.4,7.3,16.2,80.4,9.9,2.1,2.6,0.9,4.1,24.9,170448,87.0,8.5,4.4,0.1,8.5,Chicago O'Hare International,Chicago,IL,17031,Cook,5236393,2537245,2699148,24.7,43.1,23.7,0.1,6.7,0.0,3499916,55251.0,327.0,31013,174,17.1,25.0,38.3,18.2,24.4,6.1,13.0,62.1,8.7,18.4,4.4,2.2,4.2,32.3,2463655,83.9,11.5,4.5,0.1,10.7
3,ABI,DFW,2231,686,0.307,Abilene Regional,Abilene,TX,48441,Taylor,134435,65704,68731,23.2,65.6,7.2,0.4,1.7,0.0,97954,45396.0,1528.0,23896,744,17.4,21.6,30.3,21.9,25.8,11.1,10.9,81.4,11.4,0.6,2.3,1.8,2.5,15.9,60708,77.5,16.5,5.7,0.2,5.9,Dallas-Fort Worth International,Dallas,TX,48113,Dallas,2485003,1225722,1259281,39.0,31.5,21.8,0.2,5.6,0.0,1432702,50270.0,333.0,27605,246,19.3,29.3,33.3,18.2,24.5,11.2,12.9,78.2,11.2,2.9,1.5,2.1,4.1,26.5,1191958,83.9,9.5,6.4,0.1,7.6
4,ABQ,ATL,799,172,0.215,Albuquerque International,Albuquerque,NM,35001,Bernalillo,673943,330578,343365,48.7,40.4,2.5,3.9,2.2,0.1,476567,47725.0,789.0,26765,356,19.4,27.2,40.3,19.9,23.5,8.6,7.8,79.9,9.4,1.8,2.0,2.6,4.1,21.6,307756,74.0,20.1,5.6,0.2,8.4,William B Hartsfield-Atlanta Intl,Atlanta,GA,13121,Fulton,983903,478161,505742,7.6,40.4,43.5,0.2,6.3,0.0,688462,57207.0,835.0,37926,541,17.6,25.2,49.4,15.0,24.1,4.0,7.5,72.8,8.1,7.0,2.8,1.4,7.9,27.4,471816,83.1,11.5,5.2,0.1,9.9
5,ABQ,BWI,498,190,0.382,Albuquerque International,Albuquerque,NM,35001,Bernalillo,673943,330578,343365,48.7,40.4,2.5,3.9,2.2,0.1,476567,47725.0,789.0,26765,356,19.4,27.2,40.3,19.9,23.5,8.6,7.8,79.9,9.4,1.8,2.0,2.6,4.1,21.6,307756,74.0,20.1,5.6,0.2,8.4,Baltimore-Washington International,Towson,MD,24005,Baltimore,822959,389418,433541,4.8,60.3,26.7,0.2,5.6,0.0,603652,67095.0,812.0,35011,327,9.4,12.1,43.3,16.2,24.8,7.2,8.4,79.3,9.0,4.8,1.9,1.3,3.7,29.1,412199,77.0,18.3,4.6,0.1,6.9
6,ABQ,CLT,95,16,0.168,Albuquerque International,Albuquerque,NM,35001,Bernalillo,673943,330578,343365,48.7,40.4,2.5,3.9,2.2,0.1,476567,47725.0,789.0,26765,356,19.4,27.2,40.3,19.9,23.5,8.6,7.8,79.9,9.4,1.8,2.0,2.6,4.1,21.6,307756,74.0,20.1,5.6,0.2,8.4,Charlotte/Douglas International,Charlotte,NC,37119,Mecklenburg,990288,476765,513523,12.5,49.1,30.5,0.2,5.1,0.1,661369,56854.0,639.0,33169,334,15.2,20.5,42.4,16.3,25.1,6.7,9.4,77.3,9.9,3.4,1.9,1.3,6.1,25.3,502455,86.0,9.1,4.8,0.1,8.9
7,ABQ,DAL,1560,756,0.485,Albuquerque International,Albuquerque,NM,35001,Bernalillo,673943,330578,343365,48.7,40.4,2.5,3.9,2.2,0.1,476567,47725.0,789.0,26765,356,19.4,27.2,40.3,19.9,23.5,8.6,7.8,79.9,9.4,1.8,2.0,2.6,4.1,21.6,307756,74.0,20.1,5.6,0.2,8.4,Dallas Love,Dallas,TX,48113,Dallas,2485003,1225722,1259281,39.0,31.5,21.8,0.2,5.6,0.0,1432702,50270.0,333.0,27605,246,19.3,29.3,33.3,18.2,24.5,11.2,12.9,78.2,11.2,2.9,1.5,2.1,4.1,26.5,1191958,83.9,9.5,6.4,0.1,7.6
8,ABQ,DEN,1566,570,0.364,Albuquerque International,Albuquerque,NM,35001,Bernalillo,673943,330578,343365,48.7,40.4,2.5,3.9,2.2,0.1,476567,47725.0,789.0,26765,356,19.4,27.2,40.3,19.9,23.5,8.6,7.8,79.9,9.4,1.8,2.0,2.6,4.1,21.6,307756,74.0,20.1,5.6,0.2,8.4,Denver Intl,Denver,CO,8031,Denver,649654,324730,324924,30.9,53.1,9.4,0.6,3.5,0.1,449814,53637.0,803.0,35218,421,17.3,26.1,44.6,17.6,22.3,7.5,8.1,70.3,8.5,6.8,4.5,3.4,6.5,24.8,348382,83.2,11.2,5.6,0.1,6.3
9,ABQ,DFW,1750,617,0.353,Albuquerque International,Albuquerque,NM,35001,Bernalillo,673943,330578,343365,48.7,40.4,2.5,3.9,2.2,0.1,476567,47725.0,789.0,26765,356,19.4,27.2,40.3,19.9,23.5,8.6,7.8,79.9,9.4,1.8,2.0,2.6,4.1,21.6,307756,74.0,20.1,5.6,0.2,8.4,Dallas-Fort Worth International,Dallas,TX,48113,Dallas,2485003,1225722,1259281,39.0,31.5,21.8,0.2,5.6,0.0,1432702,50270.0,333.0,27605,246,19.3,29.3,33.3,18.2,24.5,11.2,12.9,78.2,11.2,2.9,1.5,2.1,4.1,26.5,1191958,83.9,9.5,6.4,0.1,7.6
