origin,destination,delay_probability
ABE,ATL,0.0
ABE,DTW,0.0
ABE,ORD,0.0
ABI,DFW,0.0
ABQ,ATL,0.0
ABQ,BWI,0.0
ABQ,CLT,0.0
ABQ,DAL,0.0
ABQ,DEN,0.0
ABQ,DFW,0.0
ABQ,HOU,0.0
ABQ,IAH,0.0
ABQ,JFK,0.0
ABQ,LAS,0.0
ABQ,LAX,0.0
ABQ,MCI,0.0
ABQ,MCO,0.0
ABQ,MDW,0.0
ABQ,MSP,0.0
ABQ,OAK,0.0
ABQ,ORD,0.0
ABQ,PDX,0.0
ABQ,PHX,0.0
ABQ,SAN,0.0
ABQ,SEA,0.0
ABQ,SFO,0.0
ABQ,SLC,0.0
ABR,MSP,0.0
ABY,ATL,0.0
ACK,BOS,0.0
ACK,DCA,0.0
ACK,JFK,0.0
ACT,DFW,0.0
ACV,SFO,0.0
ACY,ATL,0.0
ACY,BOS,1.0
ACY,DTW,1.0
ACY,FLL,0.0
ACY,MCO,0.0
ACY,MYR,0.0
ACY,ORD,1.0
ACY,PBI,0.0
ACY,RSW,0.0
ACY,TPA,0.0
ADK,ANC,1.0
ADQ,ANC,0.0
AEX,ATL,0.0
AEX,DFW,0.0
AEX,IAH,0.0
AGS,ATL,0.0
AGS,LGA,0.0
AKN,ANC,1.0
ALB,ATL,0.0
ALB,BWI,0.0
ALB,CLT,0.0
ALB,DEN,0.0
ALB,DTW,0.0
ALB,EWR,0.0
ALB,FLL,0.0
ALB,IAD,1.0
ALB,LAS,0.0
ALB,MCO,0.0
ALB,MDW,0.0
ALB,MSP,0.0
ALB,ORD,0.0
ALB,RSW,1.0
ALB,TPA,0.0
ALO,ORD,0.0
AMA,DAL,0.0
AMA,DEN,0.0
AMA,DFW,0.0
AMA,IAH,0.0
AMA,LAS,0.0
ANC,ADK,0.0
ANC,ADQ,0.0
ANC,AKN,0.0
ANC,ATL,0.0
ANC,BET,0.0
ANC,BRW,0.0
ANC,CDV,0.0
ANC,DEN,0.0
ANC,DFW,0.0
ANC,DLG,0.0
ANC,EWR,0.0
ANC,FAI,0.0
ANC,HNL,0.0
ANC,IAH,0.0
ANC,JNU,0.0
ANC,KOA,0.0
ANC,LAS,0.0
ANC,LAX,0.0
ANC,LGB,0.0
ANC,MSP,0.0
ANC,OGG,0.0
ANC,OME,0.0
ANC,ORD,0.0
ANC,OTZ,0.0
ANC,PDX,0.0
ANC,PHX,0.0
ANC,SCC,0.0
ANC,SEA,0.0
ANC,SFO,0.0
ANC,SLC,0.0
APN,DTW,0.0
ASE,ATL,0.0
ASE,DEN,0.0
ASE,DFW,1.0
ASE,IAH,0.0
ASE,LAX,0.0
ASE,MSP,0.0
ASE,ORD,0.0
ASE,SFO,0.0
ATL,ABE,0.0
ATL,ABQ,0.0
ATL,ABY,0.0
ATL,ACY,1.0
ATL,AEX,0.0
ATL,AGS,0.0
ATL,ALB,0.0
ATL,ANC,0.0
ATL,ASE,0.0
ATL,ATW,0.0
ATL,AUS,0.0
ATL,AVL,0.0
ATL,AVP,0.0
ATL,AZO,0.0
ATL,BDL,0.0
ATL,BHM,0.0
ATL,BMI,1.0
ATL,BNA,0.0
ATL,BOS,0.0
ATL,BQK,0.0
ATL,BTR,0.0
ATL,BTV,1.0
ATL,BUF,0.0
ATL,BWI,0.0
ATL,BZN,0.0
ATL,CAE,0.0
ATL,CAK,0.0
ATL,CHA,0.0
ATL,CHO,0.0
ATL,CHS,0.0
ATL,CID,0.0
ATL,CLE,0.0
ATL,CLT,0.0
ATL,CMH,0.0
ATL,COS,0.0
ATL,CRW,0.0
ATL,CSG,0.0
ATL,CVG,0.0
ATL,DAB,0.0
ATL,DAL,0.0
ATL,DAY,0.0
ATL,DCA,0.0
ATL,DEN,0.0
ATL,DFW,0.0
ATL,DHN,0.0
ATL,DSM,0.0
ATL,DTW,0.0
ATL,ECP,0.0
ATL,EGE,0.0
ATL,ELM,1.0
ATL,ELP,0.0
ATL,EVV,0.0
ATL,EWN,0.0
ATL,EWR,0.0
ATL,EYW,0.0
ATL,FAR,1.0
ATL,FAY,0.0
ATL,FCA,0.0
ATL,FLL,0.0
ATL,FNT,0.0
ATL,FSD,0.0
ATL,FSM,0.0
ATL,FWA,0.0
ATL,GNV,0.0
ATL,GPT,0.0
ATL,GRB,0.0
ATL,GRK,0.0
ATL,GRR,0.0
ATL,GSO,0.0
ATL,GSP,0.0
ATL,GTR,0.0
ATL,HDN,0.0
ATL,HNL,0.0
ATL,HOU,0.0
ATL,HPN,0.0
ATL,HSV,0.0
ATL,IAD,0.0
ATL,IAH,0.0
ATL,ICT,0.0
ATL,ILM,0.0
ATL,IND,0.0
ATL,JAC,0.0
ATL,JAN,0.0
ATL,JAX,0.0
ATL,JFK,0.0
ATL,LAN,0.0
ATL,LAS,0.0
ATL,LAX,0.0
ATL,LEX,0.0
ATL,LFT,0.0
ATL,LGA,0.0
ATL,LIT,0.0
ATL,LNK,0.0
ATL,MBS,0.0
ATL,MCI,0.0
ATL,MCO,0.0
ATL,MDT,0.0
ATL,MDW,0.0
ATL,MEM,0.0
ATL,MGM,0.0
ATL,MHT,0.0
ATL,MIA,0.0
ATL,MKE,0.0
ATL,MLB,0.0
ATL,MLI,1.0
ATL,MLU,0.0
ATL,MOB,0.0
ATL,MSN,0.0
ATL,MSO,0.0
ATL,MSP,0.0
ATL,MSY,0.0
ATL,MTJ,0.0
ATL,MYR,0.0
ATL,OAJ,0.0
ATL,OAK,0.0
ATL,OKC,0.0
ATL,OMA,0.0
ATL,ONT,0.0
ATL,ORD,0.0
ATL,ORF,0.0
ATL,PBI,0.0
ATL,PDX,0.0
ATL,PHF,0.0
ATL,PHL,0.0
ATL,PHX,0.0
ATL,PIA,0.0
ATL,PIT,0.0
ATL,PNS,0.0
ATL,PVD,0.0
ATL,PWM,0.0
ATL,RAP,1.0
ATL,RDU,0.0
ATL,RIC,0.0
ATL,ROA,0.0
ATL,ROC,0.0
ATL,RST,0.0
ATL,RSW,0.0
ATL,SAN,0.0
ATL,SAT,0.0
ATL,SAV,0.0
ATL,SBN,0.0
ATL,SCE,0.0
ATL,SDF,0.0
ATL,SEA,0.0
ATL,SFO,0.0
ATL,SGF,0.0
ATL,SHV,0.0
ATL,SJC,0.0
ATL,SJU,0.0
ATL,SLC,0.0
ATL,SMF,0.0
ATL,SNA,0.0
ATL,SRQ,0.0
ATL,STL,0.0
ATL,SYR,0.0
ATL,TLH,0.0
ATL,TPA,0.0
ATL,TRI,0.0
ATL,TTN,1.0
ATL,TUL,0.0
ATL,TUS,0.0
ATL,TVC,1.0
ATL,TYS,0.0
ATL,VLD,0.0
ATL,VPS,0.0
ATL,XNA,0.0
ATW,ATL,0.0
ATW,DTW,0.0
ATW,MSP,0.0
ATW,ORD,0.0
AUS,ATL,0.0
AUS,BNA,0.0
AUS,BOS,1.0
AUS,BWI,0.0
AUS,CLT,0.0
AUS,DAL,0.0
AUS,DCA,0.0
AUS,DEN,0.0
AUS,DFW,0.0
AUS,DTW,0.0
AUS,ELP,0.0
AUS,EWR,0.0
AUS,FLL,0.0
AUS,HOU,0.0
AUS,HRL,0.0
AUS,IAD,0.0
AUS,IAH,0.0
AUS,JFK,0.0
AUS,LAS,0.0
AUS,LAX,0.0
AUS,LBB,0.0
AUS,LGB,0.0
AUS,MCO,0.0
AUS,MDW,0.0
AUS,MEM,0.0
AUS,MIA,0.0
AUS,MSP,0.0
AUS,MSY,0.0
AUS,OAK,0.0
AUS,ORD,0.0
AUS,PDX,0.0
AUS,PHL,0.0
AUS,PHX,0.0
AUS,SAN,0.0
AUS,SEA,0.0
AUS,SFO,0.0
AUS,SJC,0.0
AUS,SLC,0.0
AUS,SNA,0.0
AUS,STL,0.0
AUS,TPA,0.0
AVL,ATL,0.0
AVL,EWR,0.0
AVL,ORD,0.0
AVP,ATL,0.0
AVP,DTW,0.0
AVP,EWR,0.0
AVP,ORD,0.0
AZO,ATL,0.0
AZO,DTW,0.0
AZO,MSP,0.0
AZO,ORD,0.0
BDL,ATL,0.0
BDL,BWI,0.0
BDL,CLE,1.0
BDL,CLT,0.0
BDL,CVG,0.0
BDL,DCA,0.0
BDL,DEN,0.0
BDL,DFW,0.0
BDL,DTW,0.0
BDL,EWR,0.0
BDL,FLL,0.0
BDL,IAD,0.0
BDL,IAH,1.0
BDL,LAS,0.0
BDL,MCO,0.0
BDL,MDW,0.0
BDL,MIA,0.0
BDL,MSP,0.0
BDL,ORD,0.0
BDL,PBI,1.0
BDL,PHL,0.0
BDL,RDU,0.0
BDL,RSW,0.0
BDL,SJU,0.0
BDL,TPA,0.0
BET,ANC,0.0
BFL,DEN,0.0
BFL,IAH,0.0
BFL,PHX,0.0
BFL,SFO,0.0
BGM,DTW,0.0
BGR,DTW,0.0
BGR,LGA,0.0
BHM,ATL,0.0
BHM,BWI,0.0
BHM,DAL,0.0
BHM,DEN,0.0
BHM,DFW,0.0
BHM,DTW,0.0
BHM,HOU,0.0
BHM,IAH,0.0
BHM,LAS,0.0
BHM,LGA,0.0
BHM,MCO,0.0
BHM,MDW,0.0
BHM,MIA,0.0
BHM,ORD,0.0
BHM,TPA,0.0
BIL,DEN,0.0
BIL,MSP,0.0
BIL,ORD,0.0
BIL,SEA,0.0
BIL,SLC,0.0
BIS,DEN,0.0
BIS,DFW,0.0
BIS,MSP,0.0
BIS,ORD,0.0
BJI,MSP,0.0
BLI,HNL,0.0
BLI,LAS,0.0
BLI,OGG,0.0
BLI,SEA,0.0
BMI,ATL,0.0
BMI,DEN,1.0
BMI,DFW,0.0
BMI,DTW,0.0
BMI,MCO,1.0
BMI,MSP,1.0
BMI,ORD,0.0
BNA,ATL,0.0
BNA,AUS,0.0
BNA,BOS,0.0
BNA,BWI,0.0
BNA,CHS,0.0
BNA,CLE,0.0
BNA,CLT,0.0
BNA,CMH,0.0
BNA,CVG,0.0
BNA,DAL,0.0
BNA,DCA,0.0
BNA,DEN,0.0
BNA,DFW,0.0
BNA,DTW,0.0
BNA,ECP,0.0
BNA,EWR,0.0
BNA,FLL,0.0
BNA,HOU,0.0
BNA,IAD,0.0
BNA,IAH,0.0
BNA,JAX,0.0
BNA,JFK,0.0
BNA,LAS,0.0
BNA,LAX,0.0
BNA,LGA,0.0
BNA,MCI,0.0
BNA,MCO,0.0
BNA,MDW,0.0
BNA,MIA,1.0
BNA,MOB,1.0
BNA,MSP,0.0
BNA,MSY,0.0
BNA,OAK,0.0
BNA,ORD,0.0
BNA,PHL,0.0
BNA,PHX,0.0
BNA,PIT,0.0
BNA,PNS,0.0
BNA,RDU,0.0
BNA,RSW,0.0
BNA,SAN,0.0
BNA,SAT,0.0
BNA,SEA,0.0
BNA,SLC,0.0
BNA,STL,0.0
BNA,TPA,0.0
BNA,TTN,0.0
BOI,DEN,0.0
BOI,EUG,0.0
BOI,GEG,0.0
BOI,IAH,0.0
BOI,LAS,0.0
BOI,LAX,0.0
BOI,MDW,0.0
BOI,MSP,0.0
BOI,OAK,0.0
BOI,ORD,0.0
BOI,PDX,1.0
BOI,PHX,0.0
BOI,SAN,0.0
BOI,SEA,0.0
BOI,SFO,0.0
BOI,SLC,0.0
BOS,ACK,0.0
BOS,ACY,0.0
BOS,ATL,0.0
BOS,AUS,0.0
BOS,BNA,0.0
BOS,BUF,0.0
BOS,BWI,0.0
BOS,CAK,0.0
BOS,CHS,0.0
BOS,CLE,0.0
BOS,CLT,0.0
BOS,CMH,0.0
BOS,CVG,0.0
BOS,DAL,0.0
BOS,DCA,0.0
BOS,DEN,0.0
BOS,DFW,0.0
BOS,DTW,0.0
BOS,EWR,0.0
BOS,FLL,0.0
BOS,HOU,0.0
BOS,IAD,0.0
BOS,IAH,0.0
BOS,IND,0.0
BOS,JAX,0.0
BOS,JFK,0.0
BOS,LAS,0.0
BOS,LAX,0.0
BOS,LGA,0.0
BOS,LGB,0.0
BOS,MCI,0.0
BOS,MCO,0.0
BOS,MDW,0.0
BOS,MIA,0.0
BOS,MKE,0.0
BOS,MSN,0.0
BOS,MSP,0.0
BOS,MSY,0.0
BOS,MVY,0.0
BOS,MYR,0.0
BOS,OAK,1.0
BOS,ORD,0.0
BOS,PBI,0.0
BOS,PDX,0.0
BOS,PHL,0.0
BOS,PHX,0.0
BOS,PIT,0.0
BOS,RDU,0.0
BOS,RIC,0.0
BOS,RSW,0.0
BOS,SAN,0.0
BOS,SAV,0.0
BOS,SEA,0.0
BOS,SFO,0.0
BOS,SJC,0.0
BOS,SJU,1.0
BOS,SLC,0.0
BOS,SMF,1.0
BOS,SRQ,0.0
BOS,STL,0.0
BOS,TPA,0.0
BPT,DFW,0.0
BQK,ATL,0.0
BQN,EWR,0.0
BQN,FLL,1.0
BQN,JFK,0.0
BQN,MCO,0.0
BRD,INL,0.0
BRD,MSP,0.0
BRO,DFW,0.0
BRO,IAH,0.0
BRW,ANC,0.0
BRW,FAI,0.0
BRW,SCC,0.0
BTM,SLC,0.0
BTR,ATL,1.0
BTR,DCA,1.0
BTR,DFW,0.0
BTR,IAH,0.0
BTV,ATL,0.0
BTV,DTW,0.0
BTV,EWR,0.0
BTV,IAD,1.0
BTV,JFK,0.0
BTV,LGA,0.0
BTV,ORD,0.0
BUF,ATL,0.0
BUF,BOS,0.0
BUF,BWI,0.0
BUF,CLT,0.0
BUF,DTW,0.0
BUF,EWR,0.0
BUF,FLL,0.0
BUF,IAD,0.0
BUF,JFK,0.0
BUF,LAS,0.0
BUF,LGA,0.0
BUF,MCO,0.0
BUF,MDW,0.0
BUF,MSP,0.0
BUF,ORD,0.0
BUF,PHX,0.0
BUF,RSW,0.0
BUF,TPA,0.0
BUR,DEN,0.0
BUR,JFK,0.0
BUR,LAS,0.0
BUR,OAK,0.0
BUR,PDX,0.0
BUR,PHX,0.0
BUR,SEA,0.0
BUR,SFO,0.0
BUR,SJC,0.0
BUR,SLC,0.0
BUR,SMF,0.0
BWI,ABQ,0.0
BWI,ALB,0.0
BWI,ATL,0.0
BWI,AUS,0.0
BWI,BDL,0.0
BWI,BHM,0.0
BWI,BNA,0.0
BWI,BOS,0.0
BWI,BUF,0.0
BWI,CHS,0.0
BWI,CLE,0.0
BWI,CLT,0.0
BWI,CMH,0.0
BWI,CVG,0.0
BWI,DAL,0.0
BWI,DAY,0.0
BWI,DEN,0.0
BWI,DFW,0.0
BWI,DTW,0.0
BWI,ECP,0.0
BWI,EWR,0.0
BWI,FLL,0.0
BWI,FNT,0.0
BWI,GRR,0.0
BWI,GSP,0.0
BWI,HOU,0.0
BWI,IAH,0.0
BWI,IND,0.0
BWI,ISP,0.0
BWI,JAX,0.0
BWI,JFK,1.0
BWI,LAS,0.0
BWI,LAX,0.0
BWI,LIT,0.0
BWI,MCI,0.0
BWI,MCO,0.0
BWI,MDW,0.0
BWI,MEM,0.0
BWI,MHT,0.0
BWI,MIA,0.0
BWI,MKE,0.0
BWI,MSP,0.0
BWI,MSY,0.0
BWI,MYR,1.0
BWI,OAK,0.0
BWI,OKC,0.0
BWI,ORD,0.0
BWI,ORF,1.0
BWI,PBI,1.0
BWI,PDX,1.0
BWI,PHL,0.0
BWI,PHX,0.0
BWI,PIT,0.0
BWI,PVD,0.0
BWI,PWM,0.0
BWI,RDU,0.0
BWI,ROC,1.0
BWI,RSW,0.0
BWI,SAN,0.0
BWI,SAT,0.0
BWI,SDF,0.0
BWI,SEA,0.0
BWI,SFO,0.0
BWI,SJU,0.0
BWI,SLC,0.0
BWI,STL,0.0
BWI,TPA,0.0
BZN,ATL,0.0
BZN,DEN,0.0
BZN,EWR,1.0
BZN,IAH,1.0
BZN,LAX,0.0
BZN,LGA,0.0
BZN,MSP,0.0
BZN,ORD,0.0
BZN,PDX,0.0
BZN,SEA,0.0
BZN,SFO,0.0
BZN,SLC,0.0
CAE,ATL,0.0
CAE,DFW,0.0
CAE,IAD,0.0
CAE,IAH,0.0
CAE,LGA,0.0
CAE,ORD,0.0
CAK,ATL,0.0
CAK,BOS,0.0
CAK,DCA,0.0
CAK,DEN,0.0
CAK,DTW,0.0
CAK,EWR,0.0
CAK,LAS,0.0
CAK,LGA,0.0
CAK,MCO,0.0
CAK,ORD,0.0
CAK,RSW,0.0
CAK,TPA,0.0
CDC,SLC,0.0
CDV,ANC,0.0
CDV,YAK,0.0
CEC,SFO,0.0
CHA,ATL,0.0
CHA,DFW,0.0
CHA,DTW,0.0
CHA,ORD,0.0
CHO,ATL,0.0
CHO,LGA,0.0
CHO,ORD,0.0
CHS,ATL,0.0
CHS,BNA,0.0
CHS,BOS,0.0
CHS,BWI,0.0
CHS,CLE,0.0
CHS,CLT,0.0
CHS,DAL,0.0
CHS,DCA,0.0
CHS,DFW,1.0
CHS,DTW,0.0
CHS,EWR,0.0
CHS,FLL,0.0
CHS,HOU,0.0
CHS,IAD,1.0
CHS,IAH,0.0
CHS,JFK,0.0
CHS,LGA,0.0
CHS,MDW,0.0
CHS,MIA,0.0
CHS,OKC,1.0
CHS,ORD,0.0
CHS,PHL,0.0
CHS,SEA,0.0
CID,ATL,0.0
CID,DEN,0.0
CID,DFW,0.0
CID,DTW,0.0
CID,LAX,1.0
CID,MSP,1.0
CID,ORD,0.0
CIU,DTW,0.0
CLD,LAX,0.0
CLE,ATL,0.0
CLE,BDL,1.0
CLE,BNA,0.0
CLE,BOS,0.0
CLE,BWI,0.0
CLE,CHS,0.0
CLE,CLT,0.0
CLE,DCA,0.0
CLE,DEN,0.0
CLE,DFW,0.0
CLE,DTW,0.0
CLE,EWR,0.0
CLE,FLL,0.0
CLE,IAD,0.0
CLE,IAH,0.0
CLE,JFK,0.0
CLE,LAS,0.0
CLE,LAX,0.0
CLE,LGA,0.0
CLE,MCO,0.0
CLE,MDW,0.0
CLE,MIA,0.0
CLE,MKE,0.0
CLE,MSP,0.0
CLE,MYR,0.0
CLE,ORD,0.0
CLE,PHL,1.0
CLE,PHX,0.0
CLE,RDU,0.0
CLE,RSW,0.0
CLE,SEA,1.0
CLE,SFO,0.0
CLE,SJU,0.0
CLE,STL,0.0
CLE,TPA,0.0
CLL,DFW,0.0
CLL,IAH,0.0
CLT,ABQ,0.0
CLT,ALB,0.0
CLT,ATL,0.0
CLT,AUS,0.0
CLT,BDL,0.0
CLT,BNA,0.0
CLT,BOS,0.0
CLT,BUF,0.0
CLT,BWI,0.0
CLT,CHS,0.0
CLT,CLE,0.0
CLT,CMH,0.0
CLT,CVG,1.0
CLT,DAB,1.0
CLT,DAL,0.0
CLT,DCA,0.0
CLT,DEN,0.0
CLT,DFW,0.0
CLT,DTW,0.0
CLT,EWR,0.0
CLT,FLL,0.0
CLT,GSO,0.0
CLT,HOU,0.0
CLT,IAD,1.0
CLT,IAH,0.0
CLT,ILM,0.0
CLT,IND,0.0
CLT,JAX,0.0
CLT,JFK,0.0
CLT,LAS,0.0
CLT,LAX,0.0
CLT,LGA,0.0
CLT,MCI,0.0
CLT,MCO,1.0
CLT,MDT,0.0
CLT,MDW,0.0
CLT,MEM,0.0
CLT,MIA,0.0
CLT,MSP,0.0
CLT,MSY,0.0
CLT,MYR,0.0
CLT,ORD,0.0
CLT,ORF,0.0
CLT,PBI,0.0
CLT,PDX,0.0
CLT,PHL,0.0
CLT,PHX,0.0
CLT,PIT,0.0
CLT,PVD,0.0
CLT,PWM,0.0
CLT,RDU,0.0
CLT,RIC,0.0
CLT,ROC,0.0
CLT,RSW,0.0
CLT,SAN,0.0
CLT,SAT,0.0
CLT,SDF,0.0
CLT,SEA,0.0
CLT,SFO,0.0
CLT,SGF,1.0
CLT,SJU,0.0
CLT,SLC,0.0
CLT,SMF,1.0
CLT,STL,0.0
CLT,SYR,0.0
CLT,TPA,0.0
CLT,TTN,1.0
CMH,ATL,0.0
CMH,BNA,0.0
CMH,BOS,0.0
CMH,BWI,0.0
CMH,CLT,0.0
CMH,DAL,0.0
CMH,DCA,0.0
CMH,DEN,0.0
CMH,DFW,0.0
CMH,DTW,0.0
CMH,EWR,0.0
CMH,FLL,0.0
CMH,IAD,0.0
CMH,IAH,0.0
CMH,JFK,0.0
CMH,LAS,0.0
CMH,LAX,0.0
CMH,LGA,0.0
CMH,MCO,0.0
CMH,MDW,0.0
CMH,MIA,0.0
CMH,MSP,0.0
CMH,OAK,0.0
CMH,ORD,0.0
CMH,PHX,0.0
CMH,RSW,0.0
CMH,STL,0.0
CMH,TPA,0.0
CMI,DFW,0.0
CMI,ORD,0.0
CMX,ORD,0.0
CNY,SLC,0.0
COD,DEN,0.0
COD,ORD,1.0
COD,SLC,1.0
COS,ATL,0.0
COS,DEN,0.0
COS,DFW,0.0
COS,IAH,0.0
COS,LAX,0.0
COS,ORD,0.0
COS,SEA,0.0
COS,SFO,0.0
COS,SLC,0.0
COU,DFW,0.0
COU,ORD,0.0
CPR,DEN,0.0
CPR,SLC,0.0
CRP,DFW,0.0
CRP,HOU,0.0
CRP,IAH,0.0
CRW,ATL,0.0
CRW,DFW,1.0
CRW,DTW,0.0
CRW,IAH,1.0
CRW,MYR,0.0
CRW,ORD,0.0
CSG,ATL,0.0
CVG,ATL,0.0
CVG,BDL,0.0
CVG,BNA,0.0
CVG,BOS,0.0
CVG,BWI,0.0
CVG,CLT,0.0
CVG,DCA,1.0
CVG,DEN,0.0
CVG,DFW,0.0
CVG,DTW,0.0
CVG,EWR,0.0
CVG,FLL,0.0
CVG,GRR,0.0
CVG,IAD,0.0
CVG,IAH,1.0
CVG,JFK,0.0
CVG,LAS,0.0
CVG,LAX,0.0
CVG,LGA,0.0
CVG,MCI,0.0
CVG,MCO,0.0
CVG,MEM,0.0
CVG,MIA,0.0
CVG,MKE,0.0
CVG,MSN,1.0
CVG,MSP,0.0
CVG,ORD,0.0
CVG,PHX,1.0
CVG,PIT,0.0
CVG,RDU,0.0
CVG,RIC,0.0
CVG,RSW,0.0
CVG,SAN,0.0
CVG,SEA,0.0
CVG,SFO,0.0
CVG,SLC,0.0
CVG,STL,0.0
CVG,TPA,0.0
CVG,TTN,0.0
CVG,XNA,0.0
CWA,MSP,0.0
CWA,ORD,0.0
DAB,ATL,0.0
DAB,CLT,1.0
DAL,ABQ,1.0
DAL,AMA,0.0
DAL,ATL,0.0
DAL,AUS,0.0
DAL,BHM,0.0
DAL,BNA,0.0
DAL,BOS,0.0
DAL,BWI,0.0
DAL,CHS,0.0
DAL,CLT,0.0
DAL,CMH,0.0
DAL,DCA,0.0
DAL,DEN,0.0
DAL,DTW,0.0
DAL,ECP,0.0
DAL,ELP,0.0
DAL,FLL,0.0
DAL,HOU,0.0
DAL,IAH,0.0
DAL,ICT,0.0
DAL,IND,1.0
DAL,LAS,0.0
DAL,LAX,1.0
DAL,LBB,0.0
DAL,LGA,1.0
DAL,LIT,0.0
DAL,MAF,0.0
DAL,MCI,1.0
DAL,MCO,0.0
DAL,MDW,0.0
DAL,MEM,0.0
DAL,MKE,0.0
DAL,MSY,0.0
DAL,OAK,0.0
DAL,OKC,0.0
DAL,OMA,0.0
DAL,PDX,0.0
DAL,PHL,0.0
DAL,PHX,0.0
DAL,PIT,0.0
DAL,RDU,0.0
DAL,SAN,0.0
DAL,SAT,0.0
DAL,SEA,1.0
DAL,SFO,1.0
DAL,SJC,1.0
DAL,SLC,0.0
DAL,SMF,1.0
DAL,SNA,0.0
DAL,STL,0.0
DAL,TPA,0.0
DAL,TUL,1.0
DAY,ATL,0.0
DAY,BWI,0.0
DAY,DEN,0.0
DAY,DFW,0.0
DAY,DTW,0.0
DAY,EWR,0.0
DAY,IAD,0.0
DAY,LGA,0.0
DAY,MCO,0.0
DAY,MSP,0.0
DAY,ORD,0.0
DAY,TPA,0.0
DBQ,ORD,0.0
DCA,ACK,0.0
DCA,ATL,0.0
DCA,AUS,0.0
DCA,BDL,0.0
DCA,BNA,0.0
DCA,BOS,0.0
DCA,BTR,1.0
DCA,CAK,0.0
DCA,CHS,0.0
DCA,CLE,0.0
DCA,CLT,0.0
DCA,CMH,0.0
DCA,CVG,1.0
DCA,DAL,0.0
DCA,DEN,0.0
DCA,DFW,0.0
DCA,DTW,0.0
DCA,EWR,0.0
DCA,FLL,0.0
DCA,GSP,0.0
DCA,HOU,0.0
DCA,HPN,0.0
DCA,HSV,0.0
DCA,IAH,0.0
DCA,IND,0.0
DCA,JAX,0.0
DCA,JFK,1.0
DCA,LAS,0.0
DCA,LAX,0.0
DCA,LEX,0.0
DCA,LGA,0.0
DCA,MCI,0.0
DCA,MCO,0.0
DCA,MDW,0.0
DCA,MIA,0.0
DCA,MKE,0.0
DCA,MSP,0.0
DCA,MSY,0.0
DCA,ORD,0.0
DCA,PBI,0.0
DCA,PDX,0.0
DCA,PHL,0.0
DCA,PHX,0.0
DCA,PIT,1.0
DCA,PNS,1.0
DCA,PVD,0.0
DCA,PWM,0.0
DCA,RDU,1.0
DCA,RSW,0.0
DCA,SDF,0.0
DCA,SEA,0.0
DCA,SFO,0.0
DCA,SJU,0.0
DCA,SLC,0.0
DCA,STL,0.0
DCA,SYR,1.0
DCA,TPA,0.0
DEN,ABQ,0.0
DEN,ALB,0.0
DEN,AMA,1.0
DEN,ANC,1.0
DEN,ASE,1.0
DEN,ATL,0.0
DEN,AUS,0.0
DEN,BDL,0.0
DEN,BFL,1.0
DEN,BHM,0.0
DEN,BIL,0.0
DEN,BIS,0.0
DEN,BMI,1.0
DEN,BNA,0.0
DEN,BOI,0.0
DEN,BOS,0.0
DEN,BUR,0.0
DEN,BWI,0.0
DEN,BZN,0.0
DEN,CAK,0.0
DEN,CID,0.0
DEN,CLE,0.0
DEN,CLT,0.0
DEN,CMH,0.0
DEN,COD,0.0
DEN,COS,0.0
DEN,CPR,0.0
DEN,CVG,1.0
DEN,DAL,0.0
DEN,DAY,1.0
DEN,DCA,0.0
DEN,DFW,0.0
DEN,DIK,0.0
DEN,DRO,0.0
DEN,DSM,0.0
DEN,DTW,0.0
DEN,EGE,1.0
DEN,ELP,0.0
DEN,EUG,0.0
DEN,EWR,0.0
DEN,FAR,0.0
DEN,FAT,0.0
DEN,FCA,0.0
DEN,FLL,0.0
DEN,FSD,0.0
DEN,GCC,0.0
DEN,GEG,0.0
DEN,GJT,0.0
DEN,GRR,0.0
DEN,GSO,0.0
DEN,GTF,0.0
DEN,GUC,0.0
DEN,HDN,1.0
DEN,HLN,1.0
DEN,HNL,1.0
DEN,HOU,0.0
DEN,HSV,1.0
DEN,HYS,0.0
DEN,IAD,0.0
DEN,IAH,0.0
DEN,ICT,0.0
DEN,IDA,0.0
DEN,IND,0.0
DEN,ISN,0.0
DEN,JAC,0.0
DEN,JAX,0.0
DEN,JFK,0.0
DEN,JMS,0.0
DEN,KOA,0.0
DEN,LAR,0.0
DEN,LAS,0.0
DEN,LAX,0.0
DEN,LBB,1.0
DEN,LFT,0.0
DEN,LGA,0.0
DEN,LIH,1.0
DEN,LIT,0.0
DEN,LNK,0.0
DEN,MAF,0.0
DEN,MCI,0.0
DEN,MCO,0.0
DEN,MDT,1.0
DEN,MDW,0.0
DEN,MEM,0.0
DEN,MFR,0.0
DEN,MIA,0.0
DEN,MKE,0.0
DEN,MLI,0.0
DEN,MMH,0.0
DEN,MOT,0.0
DEN,MSN,0.0
DEN,MSO,0.0
DEN,MSP,0.0
DEN,MSY,0.0
DEN,MTJ,0.0
DEN,OAK,0.0
DEN,OGG,1.0
DEN,OKC,0.0
DEN,OMA,0.0
