origin,destination,count
ABE,ATL,853
ABE,BHM,1
ABE,CLE,805
ABE,CLT,465
ABE,CVG,247
ABE,DTW,997
ABE,JFK,3
ABE,LGA,9
ABE,ORD,1425
ABE,PHL,2
ABI,DFW,2660
ABQ,AMA,368
ABQ,ATL,1067
ABQ,AUS,433
ABQ,BWI,546
ABQ,CLE,12
ABQ,CVG,260
ABQ,DAL,3078
ABQ,DEN,4318
ABQ,DFW,2888
ABQ,ELP,799
ABQ,EWR,167
ABQ,HOU,1011
ABQ,IAD,365
ABQ,IAH,2261
ABQ,LAS,2402
ABQ,LAX,2395
ABQ,LBB,366
ABQ,MAF,367
ABQ,MCI,670
ABQ,MCO,730
ABQ,MDW,730
ABQ,MSP,677
ABQ,OAK,1016
ABQ,OKC,229
ABQ,ONT,446
ABQ,ORD,751
ABQ,PDX,366
ABQ,PHX,5265
ABQ,SAN,1034
ABQ,SAT,424
ABQ,SEA,721
ABQ,SFO,530
ABQ,SLC,2307
ABQ,SMF,466
ABQ,STL,366
ABQ,TPA,366
ABQ,TUL,230
ABQ,TUS,719
ABY,ATL,1095
ACK,EWR,234
ACK,JFK,223
ACT,DFW,1993
ACV,CEC,362
ACV,MRY,2
ACV,SFO,2343
ACV,SJC,1
ACV,SLC,388
ACV,SMF,618
ACY,ATL,113
ACY,JFK,1
ACY,LGA,2
ADK,ANC,102
ADQ,ANC,706
AEX,ATL,983
AEX,DFW,1005
AEX,IAH,342
AGS,ATL,2380
AGS,CLT,16
AGS,LGA,7
AKN,ANC,78
AKN,DLG,38
ALB,ATL,1154
ALB,BOS,1
ALB,BWI,2297
ALB,CLE,1113
ALB,CLT,956
ALB,CVG,914
ALB,DCA,327
ALB,DTW,1013
ALB,EWR,611
ALB,FLL,60
ALB,JFK,367
ALB,LAS,366
ALB,MCO,1037
ALB,MDW,730
ALB,MSP,57
ALB,ORD,1630
ALB,PHL,449
ALB,SBN,1
ALB,TPA,391
ALO,MSP,323
AMA,DAL,2669
AMA,DEN,729
AMA,DFW,2556
AMA,IAH,809
AMA,LAS,366
AMA,TUL,1
ANC,ATL,115
ANC,BET,1035
ANC,CDV,362
ANC,CVG,90
ANC,DEN,451
ANC,DFW,153
ANC,DLG,78
ANC,DTW,96
ANC,FAI,3217
ANC,HNL,236
ANC,IAH,207
ANC,JNU,1163
ANC,LAS,237
ANC,LAX,238
ANC,MSP,826
ANC,OGG,27
ANC,OME,365
ANC,ORD,561
ANC,OTZ,725
ANC,PDX,576
ANC,PHX,366
ANC,SCC,363
ANC,SEA,6257
ANC,SFO,181
ANC,SLC,478
ASE,ATL,16
ASE,DEN,3992
ASE,GJT,1
ASE,LAX,334
ASE,MSN,1
